City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Norman wells,65.282,-126.8329,-14.8,76,20,11.5,CA,1613017360
Tonder,54.9331,8.8667,19.99,87,7,7.76,DK,1613017360
Kismayo,-0.3582,42.5454,77.16,81,80,16.2,SO,1613017360
Yellowknife,62.456,-114.3525,-18.0,83,40,5.75,CA,1613017280
Chaah,2.249,103.048,88.93,54,10,4.25,MY,1613017361
Segovia,41.1667,-4.0,45.0,75,100,9.44,ES,1613017361
Riyadh,24.6877,46.7219,53.6,35,0,3.2,SA,1613017361
Petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,64,40,13.42,RU,1613017361
Bogense,55.5669,10.0886,19.99,88,95,8.01,DK,1613017361
Broome,42.2506,-75.833,21.99,49,90,3.44,US,1613017067
Serenje,-13.2325,30.2352,60.96,96,100,0.2,ZM,1613017361
Constitucion,-35.3333,-72.4167,61.74,92,36,2.86,CL,1613017361
Ostrovnoy,68.0531,39.5131,2.16,92,8,11.59,RU,1613017361
Shelburne,44.0787,-80.2041,15.01,85,100,6.33,CA,1613017340
Dores do indaia,-19.4633,-45.6017,65.43,97,5,0.34,BR,1613017361
Tautira,-17.7333,-149.15,84.0,65,75,5.75,PF,1613017361
Klaksvik,62.2266,-6.589,24.8,80,20,1.14,FO,1613017362
Bluff,-46.6,168.3333,52.52,86,100,28.19,NZ,1613017362
Husavik,66.0449,-17.3389,17.6,93,75,8.75,IS,1613017362
Jamestown,42.097,-79.2353,18.0,86,90,5.75,US,1613017289
Kapaa,22.0752,-159.319,73.4,53,20,3.44,US,1613017175
Cochrane,51.1834,-114.4687,-18.99,76,40,2.3,CA,1613017362
Lagoa,39.05,-27.9833,57.47,67,38,35.66,PT,1613017362
Geraldton,-28.7667,114.6,78.8,38,0,23.02,AU,1613017163
Hermanus,-34.4187,19.2345,66.0,89,2,3.0,ZA,1613017290
Cape town,-33.9258,18.4232,68.0,88,0,8.05,ZA,1613017268
Bonavista,48.6499,-53.1147,21.0,86,100,10.36,CA,1613017362
Alta floresta,-9.8756,-56.0861,72.0,95,100,1.16,BR,1613017362
Qaanaaq,77.484,-69.3632,6.62,76,69,11.25,GL,1613017363
Barrow,71.2906,-156.7887,-41.8,84,1,10.36,US,1613017363
Georgetown,5.4112,100.3354,87.01,89,40,5.75,MY,1613017315
Saint-philippe,-21.3585,55.7679,82.99,74,20,12.66,RE,1613017363
Bougouni,11.417,-7.479,71.53,21,0,4.21,ML,1613017363
Rikitea,-23.1203,-134.9692,78.57,78,7,12.3,PF,1613017363
Aginskoye,51.1,114.53,17.76,95,100,10.94,RU,1613017363
Westport,41.1415,-73.3579,30.99,64,90,2.51,US,1613017289
Veseloyarsk,51.2836,81.1056,-12.26,87,100,1.77,RU,1613017363
Chuy,-33.6971,-53.4616,68.68,88,27,9.35,UY,1613017302
Zlatoust,55.1711,59.6508,-7.44,91,91,3.0,RU,1613017222
Guliston,40.4897,68.7842,54.9,57,4,13.8,UZ,1613017364
Carnarvon,-24.8667,113.6333,80.6,65,0,20.71,AU,1613017088
Hami,42.8,93.45,36.82,65,76,8.23,CN,1613017142
Mago,53.2514,140.1822,18.9,94,83,10.54,RU,1613017364
Kodiak,57.79,-152.4072,37.4,70,90,35.68,US,1613017272
Ushuaia,-54.8,-68.3,64.4,48,40,14.97,AR,1613017302
Brae,60.3964,-1.353,34.43,83,23,12.15,GB,1613017366
Busselton,-33.65,115.3333,66.99,63,88,1.99,AU,1613017366
Bac lieu,9.285,105.7244,81.28,68,96,16.13,VN,1613017366
Urucara,-2.5364,-57.76,73.9,95,99,2.66,BR,1613017366
New norfolk,-42.7826,147.0587,75.99,30,97,3.0,AU,1613017366
Nikolskoye,59.7035,30.7861,6.8,78,75,2.24,RU,1613017366
Te anau,-45.4167,167.7167,55.87,63,99,7.11,NZ,1613017366
Necochea,-38.5473,-58.7368,61.0,95,0,3.0,AR,1613017366
Bambous virieux,-20.3428,57.7575,82.0,68,23,8.99,MU,1613017283
Bengkulu,-3.8004,102.2655,84.61,64,49,5.77,ID,1613017303
Mataura,-46.1927,168.8643,49.89,88,100,11.88,NZ,1613017171
Tura,25.5198,90.2201,76.12,31,0,2.37,IN,1613017366
